===k = 4.237===
  N  , vB,v,vA,col,|p
061-2, -23.604,38.795,38.050,B,|vA(38.049788) * 4.237000m + vB(-23.604336) * 4.237000m + v(38.794621) * m = 100.000000m
062-1, -23.604,37.589,38.334,A,|vA(38.334238) * 4.237000m + vB(-23.604336) * 4.237000m + v(37.589404) * m = 100.000000m
062-2, -0.235,-61.428,38.334,B,|vA(38.334238) * 4.237000m + vB(-0.234567) * 4.237000m + v(-61.428307) * m = 100.000000m
063-1, -0.235,99.998,0.235,A,|vA(0.235118) * 4.237000m + vB(-0.234567) * 4.237000m + v(99.997663) * m = 100.000000m
063-2, 38.044,-62.188,0.235,B,|vA(0.235118) * 4.237000m + vB(38.043925) * 4.237000m + v(-62.188305) * m = 100.000000m
064-1, 38.044,38.819,-23.604,A,|vA(-23.604264) * 4.237000m + vB(38.043925) * 4.237000m + v(38.819159) * m = 100.000000m
064-2, 38.340,37.565,-23.604,B,|vA(-23.604264) * 4.237000m + vB(38.339985) * 4.237000m + v(37.564751) * m = 100.000000m
065-1, 38.340,-61.413,-0.244,A,|vA(-0.243938) * 4.237000m + vB(38.339985) * 4.237000m + v(-61.412953) * m = 100.000000m
065-2, 0.245,99.997,-0.244,B,|vA(-0.243938) * 4.237000m + vB(0.244534) * 4.237000m + v(99.997473) * m = 100.000000m
066-1, 0.245,-62.203,38.038,A,|vA(38.038060) * 4.237000m + vB(0.244534) * 4.237000m + v(-62.203351) * m = 100.000000m
066-2, -23.604,38.844,38.038,B,|vA(38.038060) * 4.237000m + vB(-23.604190) * 4.237000m + v(38.843695) * m = 100.000000m
067-1, -23.604,37.540,38.346,A,|vA(38.345730) * 4.237000m + vB(-23.604190) * 4.237000m + v(37.540095) * m = 100.000000m
067-2, -0.253,-61.398,38.346,B,|vA(38.345730) * 4.237000m + vB(-0.253308) * 4.237000m + v(-61.397593) * m = 100.000000m
068-1, -0.253,99.997,0.254,A,|vA(0.253951) * 4.237000m + vB(-0.253308) * 4.237000m + v(99.997274) * m = 100.000000m
068-2, 38.032,-62.218,0.254,B,|vA(0.253951) * 4.237000m + vB(38.032192) * 4.237000m + v(-62.218390) * m = 100.000000m
069-1, 38.032,38.868,-23.604,A,|vA(-23.604113) * 4.237000m + vB(38.032192) * 4.237000m + v(38.868228) * m = 100.000000m
069-2, 38.351,37.515,-23.604,B,|vA(-23.604113) * 4.237000m + vB(38.351473) * 4.237000m + v(37.515437) * m = 100.000000m
