===k = 2.000===
001-2, -2250.008,1168.879,6581.112,B,|vA(6581.112208) * 2.039000m + vB(-2250.008419) * 2.039000m + v(1168.879373) * m = 10000.000000m
===2===
===k = 2.040===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.040000m + vB(0.000000) * 2.040000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3421.053,6578.947,A,|vA(6578.947368) * 2.040000m + vB(0.000000) * 2.040000m + v(-3421.052632) * m = 10000.000000m
001-2, -2250.693,1170.360,6578.947,B,|vA(6578.947368) * 2.040000m + vB(-2250.692521) * 2.040000m + v(1170.360111) * m = 10000.000000m
===2===
===k = 2.041===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.041000m + vB(0.000000) * 2.041000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3423.216,6576.784,A,|vA(6576.783953) * 2.041000m + vB(0.000000) * 2.041000m + v(-3423.216047) * m = 10000.000000m
001-2, -2251.375,1171.841,6576.784,B,|vA(6576.783953) * 2.041000m + vB(-2251.375237) * 2.041000m + v(1171.840811) * m = 10000.000000m
===2===
===k = 2.042===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.042000m + vB(0.000000) * 2.042000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3425.378,6574.622,A,|vA(6574.621959) * 2.042000m + vB(0.000000) * 2.042000m + v(-3425.378041) * m = 10000.000000m
001-2, -2252.057,1173.321,6574.622,B,|vA(6574.621959) * 2.042000m + vB(-2252.056569) * 2.042000m + v(1173.321472) * m = 10000.000000m
===2===
===k = 2.043===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.043000m + vB(0.000000) * 2.043000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3427.539,6572.461,A,|vA(6572.461387) * 2.043000m + vB(0.000000) * 2.043000m + v(-3427.538613) * m = 10000.000000m
001-2, -2252.737,1174.802,6572.461,B,|vA(6572.461387) * 2.043000m + vB(-2252.736519) * 2.043000m + v(1174.802095) * m = 10000.000000m
===2===
===k = 2.044===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.044000m + vB(0.000000) * 2.044000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3429.698,6570.302,A,|vA(6570.302234) * 2.044000m + vB(0.000000) * 2.044000m + v(-3429.697766) * m = 10000.000000m
001-2, -2253.415,1176.283,6570.302,B,|vA(6570.302234) * 2.044000m + vB(-2253.415089) * 2.044000m + v(1176.282677) * m = 10000.000000m
===2===
===k = 2.045===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.045000m + vB(0.000000) * 2.045000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3431.856,6568.144,A,|vA(6568.144499) * 2.045000m + vB(0.000000) * 2.045000m + v(-3431.855501) * m = 10000.000000m
001-2, -2254.092,1177.763,6568.144,B,|vA(6568.144499) * 2.045000m + vB(-2254.092283) * 2.045000m + v(1177.763218) * m = 10000.000000m
===2===
===k = 2.046===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.046000m + vB(0.000000) * 2.046000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3434.012,6565.988,A,|vA(6565.988181) * 2.046000m + vB(0.000000) * 2.046000m + v(-3434.011819) * m = 10000.000000m
001-2, -2254.768,1179.244,6565.988,B,|vA(6565.988181) * 2.046000m + vB(-2254.768102) * 2.046000m + v(1179.243717) * m = 10000.000000m
===2===
===k = 2.047===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.047000m + vB(0.000000) * 2.047000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3436.167,6563.833,A,|vA(6563.833279) * 2.047000m + vB(0.000000) * 2.047000m + v(-3436.166721) * m = 10000.000000m
001-2, -2255.443,1180.724,6563.833,B,|vA(6563.833279) * 2.047000m + vB(-2255.442548) * 2.047000m + v(1180.724174) * m = 10000.000000m
===2===
===k = 2.048===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.048000m + vB(0.000000) * 2.048000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3438.320,6561.680,A,|vA(6561.679790) * 2.048000m + vB(0.000000) * 2.048000m + v(-3438.320210) * m = 10000.000000m
001-2, -2256.116,1182.205,6561.680,B,|vA(6561.679790) * 2.048000m + vB(-2256.115623) * 2.048000m + v(1182.204587) * m = 10000.000000m
===2===
===k = 2.049===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.049000m + vB(0.000000) * 2.049000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3440.472,6559.528,A,|vA(6559.527714) * 2.049000m + vB(0.000000) * 2.049000m + v(-3440.472286) * m = 10000.000000m
001-2, -2256.787,1183.685,6559.528,B,|vA(6559.527714) * 2.049000m + vB(-2256.787331) * 2.049000m + v(1183.684955) * m = 10000.000000m
===2===
===k = 2.050===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.050000m + vB(0.000000) * 2.050000m + v(10000.000000) * m = 10000.000000m
